Title	Review
	эй подпишитесь на меня в ютубе просто напиши лагер Алексей
	Разрабы вы классные играл на другом устройстве но как я увидел эту игру сразу погнал скачивать но можете пожалуйста за место поломки автомата патроны вы вроде думали об этом .А на счет оружия притензий нет и было бы интересно иследовать море но это наверно очень много работы,но вы же у нас круты.А так игра класс
	Сколько лет назад эту игру з делали?
	Игра самый топ! всё круто сделано графика не на высоте но норм Но есть несколько минусов которые я заметил 1вещи очень быстро ломаются 2 персонах хочет всё время жрать и пить 3 слишкооом много зомбаков иногда их настолько много что начинает лагать 4 все выжевшие очень огресивные нельзя создать тиму а это для меня большой минус 5 иногда можно найти у самолёта разрушеного конвоя или гуманитарного груза рейдера с м16 который конечно же убивает за несколько выстрелов.но есть и плюсы их очень много
	Игра потрясающая и очень классная,я считаю нужно добавить ещё много чего крутого
	Сделайте рейды без заданий но рейдеры будут после рейда забирать больше лута
	когда обнова ( примерно )
	Дорогие разроботчики уменя к вам вопрос! Как привязать аккаунт!?
	спосибо за токую игру я не могу оторватся от этои игры
	А мне все по нраву)))😍 молодцы!)
	Дибильный разработчики из-за этого рейда я потерял все что у меня была я удалил игру чтоб вы здохли я вас проклинаю твари
	не работает!!!
	ё
	Класная игра ставлю 5 звезд.Спосибо!🎩🎩🎩🎩🎩
	Эта самая лучшая игра в мире. Я там нашёл кучу вещей ну правдо они все сламались. Эта игра на пять звёзд мне она очень понравилась. Эта игра и понравилась и моему лудшему другу
	разработчики сделайте чтобы бензобак от чопера можно было найти легче, а пока это игра дастойна 3-х звёзд.
	Хочется чтобы на 1 базе могло развиваться несколько человек. А в целом хорошая игра
	норм игруля,затягивает
	good
	самая лутшая игра в мире!!!!:::)))
	купил со скидкой шмот. через некоторое время убили мобы. вернулся, лежит перс, пока забираю старый купленный шмот, убивают мобы, возвращаюсь, ни чего нет( куда делось?
	Что за обновление, никак не качается
	игра супер. Не заходил год, столько всего нового. красавчики))))
	Пока все отлично
	Игра по сути классная. Но на донат жадная. При покупке ящиков выпадает один шлак который собираеться за полчаса. Разработчики отвечают что вам не повезло))).ИГРАЙТЕ БЕЗ ДОНАТА!!!
	всё отлично работает
	Игра норм, но плохо что сохраняться нельзя
	Дорогие разработчики я хочу пожаловаться на вас. Я хочу чтобы была возможность одновременно удалять закладки. Вот пример : Я к примеру хочу удалить половину или же несколько закладок одновременно но вместо этого приходится каждую по отдельности. Это жуть как неудобно. Надеюсь вы поймёте.
	спасибо за игру. Но есть 1 просьба сделайте чтобы в меню доната можно было за монеты покупать оружие и броню. Пожалуйста :) а то монеты практически бесполезны.
